date,upstream_discharge,downstream_depth,initial_depth,initial_velocity
2024-01-01,25.3,2.15,2.0,1.2
2024-01-02,28.7,2.25,2.1,1.3
2024-01-03,32.1,2.35,2.2,1.4
2024-01-04,29.4,2.28,2.1,1.3
2024-01-05,35.2,2.42,2.3,1.5
2024-01-06,38.9,2.51,2.4,1.6
2024-01-07,42.6,2.61,2.5,1.7
2024-01-08,39.8,2.54,2.4,1.6
2024-01-09,36.4,2.45,2.3,1.5
2024-01-10,33.7,2.38,2.2,1.4
2024-01-11,30.2,2.29,2.1,1.3
2024-01-12,27.8,2.22,2.0,1.2
2024-01-13,31.5,2.32,2.2,1.4
2024-01-14,34.9,2.41,2.3,1.5
2024-01-15,37.2,2.48,2.4,1.6
2024-01-16,40.1,2.56,2.5,1.7
2024-01-17,43.7,2.65,2.6,1.8
2024-01-18,41.3,2.59,2.5,1.7
2024-01-19,38.6,2.52,2.4,1.6
2024-01-20,35.9,2.44,2.3,1.5
2024-01-21,32.4,2.35,2.2,1.4
2024-01-22,29.1,2.27,2.1,1.3
2024-01-23,26.7,2.20,2.0,1.2
2024-01-24,30.8,2.30,2.2,1.4
2024-01-25,33.5,2.39,2.3,1.5
2024-01-26,36.8,2.47,2.4,1.6
2024-01-27,39.4,2.54,2.5,1.7
2024-01-28,42.1,2.62,2.6,1.8
2024-01-29,40.7,2.58,2.5,1.7
2024-01-30,37.9,2.50,2.4,1.6
